CVE,Code,Severity
CVE-2014-1500,1,5.0 MEDIUM
CVE-2014-1502,1,6.8 MEDIUM
CVE-2014-1504,1,2.6 LOW
CVE-2014-1505,1,7.5 HIGH
CVE-2014-1508,1,9.1 CRITICAL
CVE-2014-1509,1,8.8 HIGH
CVE-2014-1510,1,9.8 CRITICAL
CVE-2014-1511,1,9.8 CRITICAL
CVE-2014-1512,1,10.0 HIGH
CVE-2014-1513,1,8.8 HIGH
CVE-2014-1514,1,9.8 CRITICAL
CVE-2014-1518,1,8.8 HIGH
CVE-2014-1519,1,9.3 HIGH
CVE-2014-1522,1,9.3 HIGH
CVE-2014-1523,1,6.5 MEDIUM
CVE-2014-1524,1,9.8 CRITICAL
CVE-2014-1525,1,9.3 HIGH
CVE-2014-1526,1,6.8 MEDIUM
CVE-2014-1528,1,10.0 HIGH
CVE-2014-1529,1,8.8 HIGH
CVE-2014-1530,1,6.1 MEDIUM
CVE-2014-1531,1,8.8 HIGH
CVE-2014-1532,1,9.8 CRITICAL
CVE-2014-1533,1,10.0 HIGH
CVE-2014-1534,1,10.0 HIGH
CVE-2014-1536,1,10.0 HIGH
CVE-2014-1537,1,10.0 HIGH
CVE-2014-1538,1,10.0 HIGH
CVE-2014-1540,1,9.3 HIGH
CVE-2014-1541,1,10.0 HIGH
CVE-2014-1542,1,6.8 MEDIUM
CVE-2014-1544,1,10.0 HIGH
CVE-2014-1545,1,10.0 HIGH
CVE-2014-1547,1,10.0 HIGH
CVE-2014-1548,1,10.0 HIGH
CVE-2014-1549,1,9.3 HIGH
CVE-2014-1550,1,10.0 HIGH
CVE-2014-1552,1,5.8 MEDIUM
CVE-2014-1553,1,10.0 HIGH
CVE-2014-1554,1,10.0 HIGH
CVE-2014-1555,1,9.3 HIGH
CVE-2014-1556,1,9.3 HIGH
CVE-2014-1557,1,9.3 HIGH
CVE-2014-1558,1,4.3 MEDIUM
CVE-2014-1559,1,4.3 MEDIUM
CVE-2014-1560,1,4.3 MEDIUM
CVE-2014-1561,1,5.8 MEDIUM
CVE-2014-1562,1,10.0 HIGH
CVE-2014-1563,1,10.0 HIGH
CVE-2014-1564,1,4.3 MEDIUM
CVE-2014-1565,1,5.0 MEDIUM
CVE-2014-1567,1,9.3 HIGH
CVE-2014-1568,1,7.5 HIGH
CVE-2014-1569,1,7.5 HIGH
CVE-2014-1574,1,7.5 HIGH
CVE-2014-1575,1,7.5 HIGH
CVE-2014-1576,1,7.5 HIGH
CVE-2014-1577,1,6.4 MEDIUM
CVE-2014-1578,1,7.5 HIGH
CVE-2014-1580,1,5.0 MEDIUM
CVE-2014-1581,1,7.5 HIGH
CVE-2014-1582,1,4.3 MEDIUM
CVE-2014-1583,1,5.0 MEDIUM
CVE-2014-1584,1,4.3 MEDIUM
CVE-2014-1585,1,5.0 MEDIUM
CVE-2014-1586,1,5.0 MEDIUM
CVE-2014-1587,1,6.8 MEDIUM
CVE-2014-1588,1,6.8 MEDIUM
CVE-2014-1589,1,6.8 MEDIUM
CVE-2014-1590,1,4.3 MEDIUM
CVE-2014-1591,1,4.3 MEDIUM
CVE-2014-1592,1,6.8 MEDIUM
CVE-2014-1593,1,6.8 MEDIUM
CVE-2014-1594,1,6.8 MEDIUM
CVE-2014-1604,1,2.1 LOW
CVE-2014-1608,1,7.5 HIGH
CVE-2014-1609,1,7.5 HIGH
CVE-2014-1610,1,6.0 MEDIUM
CVE-2014-1624,1,3.3 LOW
CVE-2014-1626,1,5.0 MEDIUM
CVE-2014-1638,1,3.3 LOW
CVE-2014-1639,1,3.3 LOW
CVE-2014-1640,1,3.3 LOW
CVE-2014-1642,1,4.4 MEDIUM
CVE-2014-1666,1,8.3 HIGH
CVE-2014-1681,1,10.0 HIGH
CVE-2014-1682,1,4.0 MEDIUM
CVE-2014-1684,1,4.3 MEDIUM
CVE-2014-1685,1,5.5 MEDIUM
CVE-2014-1690,1,2.6 LOW
CVE-2014-1691,1,7.5 HIGH
CVE-2014-1693,1,7.5 HIGH
CVE-2014-1694,1,6.8 MEDIUM
CVE-2014-1695,1,4.3 MEDIUM
CVE-2014-1700,1,7.5 HIGH
CVE-2014-1701,1,4.3 MEDIUM
CVE-2014-1702,1,7.5 HIGH
CVE-2014-1703,1,7.5 HIGH
CVE-2014-1704,1,10.0 HIGH
CVE-2014-1705,1,7.5 HIGH
CVE-2014-1713,1,7.5 HIGH
CVE-2014-1714,1,7.5 HIGH
CVE-2014-1715,1,7.5 HIGH
CVE-2014-1716,1,7.5 HIGH
CVE-2014-1717,1,7.5 HIGH
CVE-2014-1718,1,7.5 HIGH
CVE-2014-1719,1,7.5 HIGH
CVE-2014-1720,1,7.5 HIGH
CVE-2014-1721,1,7.5 HIGH
CVE-2014-1722,1,7.5 HIGH
CVE-2014-1723,1,7.5 HIGH
CVE-2014-1724,1,7.5 HIGH
CVE-2014-1725,1,5.0 MEDIUM
CVE-2014-1726,1,4.3 MEDIUM
CVE-2014-1727,1,7.5 HIGH
CVE-2014-1728,1,7.5 HIGH
CVE-2014-1729,1,7.5 HIGH
CVE-2014-1730,1,7.8 HIGH
CVE-2014-1731,1,7.5 HIGH
CVE-2014-1732,1,7.5 HIGH
CVE-2014-1733,1,7.5 HIGH
CVE-2014-1734,1,7.5 HIGH
CVE-2014-1735,1,7.5 HIGH
CVE-2014-1736,1,7.5 HIGH
CVE-2014-1737,1,7.2 HIGH
CVE-2014-1738,1,2.1 LOW
CVE-2014-1739,1,2.1 LOW
CVE-2014-1740,1,7.5 HIGH
CVE-2014-1741,1,7.5 HIGH
CVE-2014-1742,1,7.5 HIGH
CVE-2014-1743,1,7.5 HIGH
CVE-2014-1744,1,7.5 HIGH
CVE-2014-1745,1,7.5 HIGH
CVE-2014-1746,1,5.0 MEDIUM
CVE-2014-1747,1,4.3 MEDIUM
CVE-2014-1748,1,5.0 MEDIUM
CVE-2014-1749,1,7.5 HIGH
CVE-2014-1829,1,5.0 MEDIUM
CVE-2014-1830,1,5.0 MEDIUM
CVE-2014-1831,1,2.1 LOW
CVE-2014-1832,1,2.1 LOW
CVE-2014-1833,1,5.0 MEDIUM
CVE-2014-1834,1,7.8 HIGH
CVE-2014-1835,1,7.8 HIGH
CVE-2014-1836,1,6.4 MEDIUM
CVE-2014-1838,1,4.4 MEDIUM
CVE-2014-1839,1,4.4 MEDIUM
CVE-2014-1845,1,7.8 HIGH
CVE-2014-1846,1,7.8 HIGH
CVE-2014-1850,0,
CVE-2014-1858,1,5.5 MEDIUM
CVE-2014-1859,1,5.5 MEDIUM
CVE-2014-1867,1,7.8 HIGH
CVE-2014-1868,1,5.0 MEDIUM
CVE-2014-1869,1,4.3 MEDIUM
CVE-2014-1874,1,4.9 MEDIUM
CVE-2014-1875,1,3.6 LOW
CVE-2014-1876,1,4.4 MEDIUM
CVE-2014-1878,1,5.0 MEDIUM
CVE-2014-1879,1,3.5 LOW
CVE-2014-1891,1,5.2 MEDIUM
CVE-2014-1892,1,5.2 MEDIUM
CVE-2014-1893,1,5.2 MEDIUM
CVE-2014-1895,1,5.8 MEDIUM
CVE-2014-1896,1,4.9 MEDIUM
CVE-2014-1904,1,4.3 MEDIUM
CVE-2014-1909,1,7.5 HIGH
CVE-2014-1912,1,7.5 HIGH
CVE-2014-1921,1,7.5 HIGH
CVE-2014-1927,1,7.5 HIGH
CVE-2014-1928,1,4.6 MEDIUM
CVE-2014-1929,1,4.4 MEDIUM
CVE-2014-1932,1,4.4 MEDIUM
CVE-2014-1933,1,2.1 LOW
CVE-2014-1934,1,3.3 LOW
CVE-2014-1935,1,5.3 MEDIUM
CVE-2014-1936,1,7.5 HIGH
CVE-2014-1937,1,7.5 HIGH
CVE-2014-1938,1,5.5 MEDIUM
CVE-2014-1943,1,5.0 MEDIUM
CVE-2014-1947,1,7.8 HIGH
CVE-2014-1948,1,2.6 LOW
CVE-2014-1949,1,7.2 HIGH
CVE-2014-1950,1,4.6 MEDIUM
CVE-2014-1958,1,8.8 HIGH
CVE-2014-1959,1,5.8 MEDIUM
CVE-2014-1972,1,7.8 HIGH
CVE-2014-1985,1,5.8 MEDIUM
CVE-2014-2013,1,7.5 HIGH
CVE-2014-2015,1,7.5 HIGH
CVE-2014-2018,1,4.3 MEDIUM
CVE-2014-2020,1,5.0 MEDIUM
CVE-2014-2029,1,8.1 HIGH
CVE-2014-2030,1,8.8 HIGH
CVE-2014-2038,1,2.1 LOW
CVE-2014-2039,1,4.9 MEDIUM
CVE-2014-2053,1,7.5 HIGH
CVE-2014-2054,1,7.5 HIGH
CVE-2014-2055,1,7.5 HIGH
CVE-2014-2079,1,5.5 MEDIUM
CVE-2014-2093,1,4.6 MEDIUM
CVE-2014-2094,1,4.6 MEDIUM
CVE-2014-2095,1,4.6 MEDIUM
CVE-2014-2096,1,4.6 MEDIUM
CVE-2014-2237,1,5.0 MEDIUM
CVE-2014-2240,1,7.5 HIGH
CVE-2014-2241,1,6.8 MEDIUM
CVE-2014-2242,1,4.3 MEDIUM
CVE-2014-2243,1,5.8 MEDIUM
CVE-2014-2263,1,6.8 MEDIUM
CVE-2014-2270,1,4.3 MEDIUM
CVE-2014-2277,1,7.1 HIGH
CVE-2014-2281,1,4.3 MEDIUM
CVE-2014-2282,1,4.3 MEDIUM
CVE-2014-2283,1,4.3 MEDIUM
CVE-2014-2284,1,5.0 MEDIUM
CVE-2014-2285,1,4.3 MEDIUM
CVE-2014-2286,1,7.5 HIGH
CVE-2014-2287,1,3.5 LOW
CVE-2014-2299,1,9.3 HIGH
CVE-2014-2309,1,6.1 MEDIUM
CVE-2014-2310,1,5.0 MEDIUM
CVE-2014-2322,1,7.5 HIGH
CVE-2014-2323,1,9.8 CRITICAL
CVE-2014-2324,1,5.0 MEDIUM
CVE-2014-2326,1,4.3 MEDIUM
CVE-2014-2327,1,6.8 MEDIUM
CVE-2014-2328,1,6.5 MEDIUM
CVE-2014-2329,1,3.5 LOW
CVE-2014-2330,1,6.8 MEDIUM
CVE-2014-2331,1,8.5 HIGH
CVE-2014-2332,1,5.5 MEDIUM
CVE-2014-2338,1,6.4 MEDIUM
CVE-2014-2383,1,6.8 MEDIUM
CVE-2014-2386,1,5.0 MEDIUM
CVE-2014-2387,1,4.4 MEDIUM
CVE-2014-2397,1,9.3 HIGH
CVE-2014-2398,1,3.5 LOW
CVE-2014-2401,1,5.0 MEDIUM
CVE-2014-2402,1,7.5 HIGH
CVE-2014-2403,1,5.0 MEDIUM
CVE-2014-2405,1,10.0 HIGH
CVE-2014-2409,1,6.4 MEDIUM
CVE-2014-2410,1,9.3 HIGH
CVE-2014-2412,1,7.5 HIGH
CVE-2014-2413,1,4.3 MEDIUM
CVE-2014-2414,1,7.5 HIGH
CVE-2014-2419,1,4.0 MEDIUM
CVE-2014-2420,1,2.6 LOW
CVE-2014-2421,1,10.0 HIGH
CVE-2014-2422,1,6.8 MEDIUM
CVE-2014-2423,1,7.5 HIGH
CVE-2014-2427,1,7.5 HIGH
CVE-2014-2428,1,7.6 HIGH
CVE-2014-2430,1,3.5 LOW
CVE-2014-2431,1,2.6 LOW
CVE-2014-2432,1,2.8 LOW
CVE-2014-2435,1,4.0 MEDIUM
CVE-2014-2436,1,6.5 MEDIUM
CVE-2014-2438,1,3.5 LOW
CVE-2014-2440,1,5.1 MEDIUM
CVE-2014-2441,1,4.4 MEDIUM
CVE-2014-2477,1,3.6 LOW
CVE-2014-2483,1,9.3 HIGH
CVE-2014-2484,1,6.5 MEDIUM
CVE-2014-2486,1,3.0 LOW
CVE-2014-2487,1,6.9 MEDIUM
CVE-2014-2488,1,1.0 LOW
CVE-2014-2489,1,4.1 MEDIUM
CVE-2014-2490,1,9.3 HIGH
CVE-2014-2494,1,4.0 MEDIUM
CVE-2014-2497,1,4.3 MEDIUM
CVE-2014-2523,1,10.0 HIGH
CVE-2014-2524,1,3.3 LOW
CVE-2014-2525,1,6.8 MEDIUM
CVE-2014-2528,1,6.8 MEDIUM
CVE-2014-2532,1,4.9 MEDIUM
CVE-2014-2538,1,4.3 MEDIUM
CVE-2014-2553,1,3.5 LOW
CVE-2014-2554,1,4.3 MEDIUM
CVE-2014-2568,1,2.9 LOW
CVE-2014-2570,1,4.3 MEDIUM
CVE-2014-2573,1,2.3 LOW
CVE-2014-2576,1,6.8 MEDIUM
CVE-2014-2580,1,4.4 MEDIUM
CVE-2014-2581,1,7.5 HIGH
CVE-2014-2583,1,5.8 MEDIUM
CVE-2014-2599,1,4.9 MEDIUM
CVE-2014-2653,1,5.8 MEDIUM
CVE-2014-2655,1,6.5 MEDIUM
CVE-2014-2665,1,4.0 MEDIUM
CVE-2014-2667,1,3.3 LOW
CVE-2014-2668,1,5.0 MEDIUM
CVE-2014-2669,1,6.5 MEDIUM
CVE-2014-2672,1,7.1 HIGH
CVE-2014-2673,1,4.7 MEDIUM
CVE-2014-2678,1,4.7 MEDIUM
CVE-2014-2681,1,6.4 MEDIUM
CVE-2014-2682,1,6.8 MEDIUM
CVE-2014-2683,1,5.0 MEDIUM
CVE-2014-2684,1,6.4 MEDIUM
CVE-2014-2685,1,7.5 HIGH
CVE-2014-2686,1,7.5 HIGH
CVE-2014-2706,1,7.1 HIGH
CVE-2014-2707,1,8.3 HIGH
CVE-2014-2708,1,7.5 HIGH
CVE-2014-2709,1,7.5 HIGH
CVE-2014-2741,1,7.8 HIGH
CVE-2014-2744,1,7.8 HIGH
CVE-2014-2745,1,7.8 HIGH
CVE-2014-2828,1,7.8 HIGH
CVE-2014-2829,1,7.8 HIGH
CVE-2014-2830,1,10.0 HIGH
CVE-2014-2851,1,6.9 MEDIUM
CVE-2014-2852,1,5.0 MEDIUM
CVE-2014-2855,1,7.8 HIGH
CVE-2014-2856,1,4.3 MEDIUM
CVE-2014-2875,1,6.1 MEDIUM
CVE-2014-2886,1,6.8 MEDIUM
CVE-2014-2888,1,7.5 HIGH
CVE-2014-2889,1,4.6 MEDIUM
CVE-2014-2891,1,5.0 MEDIUM
CVE-2014-2892,1,7.5 HIGH
CVE-2014-2894,1,7.2 HIGH
CVE-2014-2901,1,7.5 HIGH
CVE-2014-2902,1,7.5 HIGH
CVE-2014-2903,1,5.9 MEDIUM
CVE-2014-2904,1,7.5 HIGH
CVE-2014-2905,1,6.9 MEDIUM
CVE-2014-2906,1,7.0 HIGH
CVE-2014-2907,1,4.3 MEDIUM
CVE-2014-2913,1,7.5 HIGH
CVE-2014-2914,1,9.8 CRITICAL
CVE-2014-2915,1,5.5 MEDIUM
CVE-2014-2921,1,7.5 HIGH
CVE-2014-2957,1,6.8 MEDIUM
CVE-2014-2972,1,4.6 MEDIUM
CVE-2014-2980,1,4.3 MEDIUM
CVE-2014-2983,1,5.0 MEDIUM
CVE-2014-2986,1,5.5 MEDIUM
CVE-2014-3000,1,7.8 HIGH
CVE-2014-3004,1,4.3 MEDIUM
CVE-2014-3005,1,9.8 CRITICAL
CVE-2014-3007,1,10.0 HIGH
CVE-2014-3086,1,7.5 HIGH
CVE-2014-3121,1,7.6 HIGH
CVE-2014-3122,1,4.9 MEDIUM
CVE-2014-3124,1,6.7 MEDIUM
CVE-2014-3125,1,6.2 MEDIUM
CVE-2014-3127,1,7.1 HIGH
CVE-2014-3137,1,6.8 MEDIUM
CVE-2014-3144,1,4.9 MEDIUM
CVE-2014-3145,1,4.9 MEDIUM
CVE-2014-3146,1,4.3 MEDIUM
CVE-2014-3152,1,7.5 HIGH
CVE-2014-3153,1,7.8 HIGH
CVE-2014-3154,1,7.5 HIGH
CVE-2014-3155,1,5.0 MEDIUM
CVE-2014-3156,1,7.5 HIGH
CVE-2014-3157,1,7.5 HIGH
CVE-2014-3158,1,7.5 HIGH
CVE-2014-3160,1,6.8 MEDIUM
CVE-2014-3162,1,5.0 MEDIUM
CVE-2014-3165,1,7.5 HIGH
CVE-2014-3166,1,4.3 MEDIUM
CVE-2014-3167,1,7.5 HIGH
CVE-2014-3168,1,7.5 HIGH
CVE-2014-3169,1,7.5 HIGH
CVE-2014-3170,1,6.4 MEDIUM
CVE-2014-3171,1,7.5 HIGH
CVE-2014-3172,1,6.4 MEDIUM
CVE-2014-3173,1,5.0 MEDIUM
CVE-2014-3174,1,5.0 MEDIUM
CVE-2014-3175,1,10.0 HIGH
CVE-2014-3176,1,10.0 HIGH
CVE-2014-3177,1,10.0 HIGH
CVE-2014-3178,1,7.5 HIGH
CVE-2014-3179,1,7.5 HIGH
CVE-2014-3180,1,9.1 CRITICAL
CVE-2014-3181,1,6.9 MEDIUM
CVE-2014-3182,1,6.9 MEDIUM
CVE-2014-3183,1,6.9 MEDIUM
CVE-2014-3184,1,4.7 MEDIUM
CVE-2014-3185,1,6.9 MEDIUM
CVE-2014-3186,1,6.9 MEDIUM
CVE-2014-3188,1,10.0 HIGH
CVE-2014-3189,1,7.5 HIGH
CVE-2014-3190,1,7.5 HIGH
CVE-2014-3191,1,7.5 HIGH
CVE-2014-3192,1,7.5 HIGH
CVE-2014-3193,1,7.5 HIGH
CVE-2014-3194,1,7.5 HIGH
CVE-2014-3195,1,5.0 MEDIUM
CVE-2014-3197,1,5.0 MEDIUM
CVE-2014-3198,1,5.0 MEDIUM
CVE-2014-3199,1,5.0 MEDIUM
CVE-2014-3200,1,7.5 HIGH
CVE-2014-3201,1,5.0 MEDIUM
CVE-2014-3202,1,4.4 MEDIUM
CVE-2014-3203,1,4.4 MEDIUM
CVE-2014-3204,1,4.4 MEDIUM
CVE-2014-3207,1,4.3 MEDIUM
CVE-2014-3209,1,2.1 LOW
CVE-2014-3211,1,7.5 HIGH
CVE-2014-3215,1,6.9 MEDIUM
CVE-2014-3219,1,7.8 HIGH
CVE-2014-3227,1,6.4 MEDIUM
CVE-2014-3230,1,5.9 MEDIUM
CVE-2014-3242,1,5.0 MEDIUM
CVE-2014-3243,1,5.0 MEDIUM
CVE-2014-3246,1,6.5 MEDIUM
CVE-2014-3247,1,4.3 MEDIUM
CVE-2014-3248,1,6.2 MEDIUM
CVE-2014-3250,1,6.5 MEDIUM
CVE-2014-3251,1,4.4 MEDIUM
CVE-2014-3416,1,6.5 MEDIUM
CVE-2014-3421,1,3.3 LOW
CVE-2014-3422,1,3.3 LOW
CVE-2014-3423,1,3.3 LOW
CVE-2014-3424,1,3.3 LOW
CVE-2014-3429,1,6.8 MEDIUM
CVE-2014-3430,1,5.0 MEDIUM
CVE-2014-3461,1,6.8 MEDIUM
CVE-2014-3462,1,7.5 HIGH
CVE-2014-3465,1,5.0 MEDIUM
CVE-2014-3466,1,6.8 MEDIUM
CVE-2014-3467,1,5.0 MEDIUM
CVE-2014-3468,1,7.5 HIGH
CVE-2014-3469,1,5.0 MEDIUM
CVE-2014-3470,1,4.3 MEDIUM
CVE-2014-3471,1,5.5 MEDIUM
CVE-2014-3473,1,4.3 MEDIUM
CVE-2014-3474,1,3.5 LOW
CVE-2014-3475,1,3.5 LOW
CVE-2014-3476,1,6.0 MEDIUM
CVE-2014-3477,1,2.1 LOW
CVE-2014-3478,1,5.0 MEDIUM
CVE-2014-3479,1,4.3 MEDIUM
CVE-2014-3480,1,4.3 MEDIUM
CVE-2014-3482,1,7.5 HIGH
CVE-2014-3483,1,7.5 HIGH
CVE-2014-3484,1,9.8 CRITICAL
CVE-2014-3487,1,4.3 MEDIUM
CVE-2014-3488,1,5.0 MEDIUM
CVE-2014-3490,1,7.5 HIGH
CVE-2014-3493,1,2.7 LOW
CVE-2014-3494,1,4.3 MEDIUM
CVE-2014-3495,1,7.5 HIGH
CVE-2014-3497,1,4.3 MEDIUM
CVE-2014-3498,1,8.8 HIGH
CVE-2014-3499,1,7.2 HIGH
CVE-2014-3503,1,5.0 MEDIUM
CVE-2014-3504,1,4.0 MEDIUM
CVE-2014-3505,1,5.0 MEDIUM
CVE-2014-3506,1,5.0 MEDIUM
CVE-2014-3507,1,5.0 MEDIUM
CVE-2014-3508,1,4.3 MEDIUM
CVE-2014-3509,1,6.8 MEDIUM
CVE-2014-3510,1,4.3 MEDIUM
CVE-2014-3511,1,4.3 MEDIUM
CVE-2014-3512,1,7.5 HIGH
CVE-2014-3513,1,7.1 HIGH
CVE-2014-3514,1,7.5 HIGH
CVE-2014-3515,1,7.5 HIGH
CVE-2014-3517,1,4.3 MEDIUM
CVE-2014-3520,1,6.5 MEDIUM
CVE-2014-3521,1,5.5 MEDIUM
CVE-2014-3522,1,4.0 MEDIUM
CVE-2014-3524,1,9.3 HIGH
CVE-2014-3525,1,10.0 HIGH
CVE-2014-3526,1,7.5 HIGH
CVE-2014-3527,1,9.8 CRITICAL
CVE-2014-3528,1,4.0 MEDIUM
CVE-2014-3529,1,4.3 MEDIUM
CVE-2014-3530,1,7.5 HIGH
CVE-2014-3532,1,2.1 LOW
CVE-2014-3533,1,2.1 LOW
CVE-2014-3534,1,7.2 HIGH
CVE-2014-3535,1,7.8 HIGH
CVE-2014-3537,1,1.2 LOW
CVE-2014-3538,1,5.0 MEDIUM
CVE-2014-3539,1,9.8 CRITICAL
CVE-2014-3542,1,4.3 MEDIUM
CVE-2014-3543,1,4.3 MEDIUM
CVE-2014-3545,1,6.0 MEDIUM
CVE-2014-3554,1,6.8 MEDIUM
CVE-2014-3555,1,4.0 MEDIUM
CVE-2014-3556,1,6.8 MEDIUM
CVE-2014-3558,1,5.0 MEDIUM
CVE-2014-3560,1,7.9 HIGH
CVE-2014-3562,1,5.0 MEDIUM
CVE-2014-3563,1,7.2 HIGH
CVE-2014-3564,1,6.8 MEDIUM
CVE-2014-3565,1,5.0 MEDIUM
CVE-2014-3566,1,3.4 LOW
CVE-2014-3567,1,7.1 HIGH
CVE-2014-3568,1,4.3 MEDIUM
CVE-2014-3569,1,5.0 MEDIUM
CVE-2014-3570,1,5.0 MEDIUM
CVE-2014-3571,1,5.0 MEDIUM
CVE-2014-3572,1,5.0 MEDIUM
CVE-2014-3574,1,4.3 MEDIUM
CVE-2014-3575,1,4.3 MEDIUM
CVE-2014-3576,1,7.5 HIGH
CVE-2014-3577,1,5.8 MEDIUM
CVE-2014-3578,1,5.0 MEDIUM
CVE-2014-3579,1,9.8 CRITICAL
CVE-2014-3580,1,5.0 MEDIUM
CVE-2014-3581,1,5.0 MEDIUM
CVE-2014-3583,1,5.0 MEDIUM
CVE-2014-3584,1,5.0 MEDIUM
CVE-2014-3587,1,4.3 MEDIUM
CVE-2014-3589,1,5.0 MEDIUM
CVE-2014-3590,1,6.5 MEDIUM
CVE-2014-3591,1,4.2 MEDIUM
CVE-2014-3594,1,3.5 LOW
CVE-2014-3596,1,5.8 MEDIUM
CVE-2014-3597,1,6.8 MEDIUM
CVE-2014-3598,1,5.0 MEDIUM
CVE-2014-3599,1,6.5 MEDIUM
CVE-2014-3600,1,9.8 CRITICAL
CVE-2014-3601,1,4.3 MEDIUM
CVE-2014-3603,1,5.9 MEDIUM
CVE-2014-3604,1,6.8 MEDIUM
CVE-2014-3607,1,5.9 MEDIUM
CVE-2014-3608,1,2.7 LOW
CVE-2014-3609,1,5.0 MEDIUM
CVE-2014-3610,1,5.5 MEDIUM
CVE-2014-3611,1,4.7 MEDIUM
CVE-2014-3612,1,7.5 HIGH
CVE-2014-3613,1,5.0 MEDIUM
CVE-2014-3614,1,5.0 MEDIUM
CVE-2014-3615,1,2.1 LOW
CVE-2014-3616,1,4.3 MEDIUM
CVE-2014-3618,1,7.5 HIGH
CVE-2014-3619,1,5.0 MEDIUM
CVE-2014-3620,1,5.0 MEDIUM
CVE-2014-3621,1,4.0 MEDIUM
CVE-2014-3623,1,5.0 MEDIUM
CVE-2014-3624,1,9.8 CRITICAL
CVE-2014-3625,1,5.0 MEDIUM
CVE-2014-3627,1,5.0 MEDIUM
CVE-2014-3628,1,4.3 MEDIUM
CVE-2014-3629,1,4.3 MEDIUM
CVE-2014-3631,1,7.2 HIGH
CVE-2014-3633,1,5.8 MEDIUM
CVE-2014-3634,1,7.5 HIGH
CVE-2014-3635,1,4.4 MEDIUM
CVE-2014-3636,1,1.9 LOW
CVE-2014-3637,1,2.1 LOW
CVE-2014-3638,1,2.1 LOW
CVE-2014-3639,1,2.1 LOW
CVE-2014-3640,1,2.1 LOW
CVE-2014-3641,1,4.0 MEDIUM
CVE-2014-3645,1,2.1 LOW
CVE-2014-3646,1,5.5 MEDIUM
CVE-2014-3647,1,5.5 MEDIUM
CVE-2014-3651,1,7.5 HIGH
CVE-2014-3652,1,6.1 MEDIUM
CVE-2014-3655,1,4.3 MEDIUM
CVE-2014-3656,1,6.1 MEDIUM
CVE-2014-3657,1,5.0 MEDIUM
CVE-2014-3660,1,5.0 MEDIUM
CVE-2014-3661,1,5.0 MEDIUM
CVE-2014-3662,1,5.0 MEDIUM
CVE-2014-3663,1,6.0 MEDIUM
CVE-2014-3664,1,4.0 MEDIUM
CVE-2014-3665,1,6.8 MEDIUM
CVE-2014-3668,1,5.0 MEDIUM
CVE-2014-3669,1,7.5 HIGH
CVE-2014-3670,1,6.8 MEDIUM
CVE-2014-3672,1,6.5 MEDIUM
CVE-2014-3673,1,7.5 HIGH
CVE-2014-3675,1,5.0 MEDIUM
CVE-2014-3676,1,7.5 HIGH
CVE-2014-3677,1,7.5 HIGH
CVE-2014-3680,1,4.0 MEDIUM
CVE-2014-3681,1,4.3 MEDIUM
CVE-2014-3683,1,5.0 MEDIUM
CVE-2014-3684,1,6.8 MEDIUM
CVE-2014-3686,1,6.8 MEDIUM
CVE-2014-3687,1,7.5 HIGH
CVE-2014-3688,1,5.0 MEDIUM
CVE-2014-3689,1,7.2 HIGH
CVE-2014-3690,1,5.5 MEDIUM
CVE-2014-3693,1,7.5 HIGH
CVE-2014-3694,1,6.4 MEDIUM
CVE-2014-3695,1,5.0 MEDIUM
CVE-2014-3696,1,5.0 MEDIUM
CVE-2014-3698,1,5.0 MEDIUM
CVE-2014-3704,1,7.5 HIGH
CVE-2014-3707,1,4.3 MEDIUM
CVE-2014-3708,1,4.0 MEDIUM
CVE-2014-3709,1,8.8 HIGH
CVE-2014-3710,1,5.0 MEDIUM
CVE-2014-3711,1,5.0 MEDIUM
CVE-2014-3712,1,5.0 MEDIUM
CVE-2014-3714,1,3.3 LOW
CVE-2014-3715,1,3.3 LOW
CVE-2014-3716,1,1.9 LOW
CVE-2014-3717,1,3.3 LOW
CVE-2014-3730,1,4.3 MEDIUM
CVE-2014-3741,1,9.8 CRITICAL
CVE-2014-3742,1,5.0 MEDIUM
CVE-2014-3743,1,6.1 MEDIUM
CVE-2014-3744,1,7.5 HIGH
CVE-2014-3755,1,5.0 MEDIUM
CVE-2014-3756,1,5.0 MEDIUM
CVE-2014-3775,1,7.5 HIGH
CVE-2014-3776,1,7.5 HIGH
CVE-2014-3800,1,2.1 LOW
CVE-2014-3801,1,3.5 LOW
CVE-2014-3803,1,4.3 MEDIUM
CVE-2014-3856,1,7.0 HIGH
CVE-2014-3864,1,6.4 MEDIUM
CVE-2014-3865,1,6.4 MEDIUM
CVE-2014-3873,1,2.1 LOW
CVE-2014-3875,1,6.1 MEDIUM
CVE-2014-3876,1,4.3 MEDIUM
CVE-2014-3877,1,4.3 MEDIUM
CVE-2014-3880,1,4.9 MEDIUM
CVE-2014-3917,1,3.3 LOW
CVE-2014-3925,1,5.0 MEDIUM
CVE-2014-3940,1,4.0 MEDIUM
CVE-2014-3941,1,5.0 MEDIUM
CVE-2014-3942,1,6.0 MEDIUM
CVE-2014-3943,1,3.5 LOW
CVE-2014-3944,1,5.8 MEDIUM
CVE-2014-3945,1,4.0 MEDIUM
CVE-2014-3946,1,4.0 MEDIUM
CVE-2014-3952,1,4.9 MEDIUM
CVE-2014-3953,1,4.9 MEDIUM
CVE-2014-3956,1,1.9 LOW
CVE-2014-3966,1,2.6 LOW
CVE-2014-3967,1,5.5 MEDIUM
CVE-2014-3968,1,5.5 MEDIUM
